time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-20T07:13:29.469Z,31.67866353,-104.4980343,6.080151367,2.8,ml,25,67,0.01034706592,0.2,tx,tx2022wsru,2022-11-24T10:36:47.623Z,"56 km SSW of Whites City, New Mexico",earthquake,1.023957262,0.5519265482,0.2,32,reviewed,tx,tx
2022-11-20T05:23:49.753Z,31.61467777,-104.0008352,9.319360352,2.5,ml,39,67,0.01532146673,0.1,tx,tx2022wsoc,2022-11-23T20:24:45.933Z,"38 km NNW of Toyah, Texas",earthquake,0.4780162619,0.382363127,0.2,55,reviewed,tx,tx
2022-11-20T02:10:25.319Z,31.52457686,-104.00686,6.645727539,2.6,ml,26,57,0.04159663069,0.1,tx,tx2022wshu,2022-11-22T18:14:03.587Z,"30 km NW of Toyah, Texas",earthquake,0.8063491689,0.5750945329,0.1,13,reviewed,tx,tx
2022-11-19T21:49:22.100Z,35.5711667,-120.8061667,3.46,2.81,md,61,50,0.07011,0.09,nc,nc73809431,2022-11-20T16:17:32.184Z,"9km WNW of Templeton, CA",earthquake,0.16,0.5,0.15,86,reviewed,nc,nc
2022-11-19T10:03:52.335Z,31.63489585,-104.0020069,7.468383789,4,ml,64,29,0.02022828971,0.1,tx,tx2022wrbx,2022-11-21T23:09:16.476Z,"38 km WSW of Mentone, Texas",earthquake,0.3740445906,0.4914256713,0.2,32,reviewed,tx,tx
2022-11-19T04:15:41.720Z,34.1968333,-116.9511667,9.08,2.62,ml,104,23,0.07,0.15,ci,ci40377816,2022-11-20T17:52:35.369Z,"6km SW of Big Bear Lake, CA",earthquake,0.09,0.23,0.143,148,reviewed,ci,ci
2022-11-18T23:32:23.924Z,31.62950719,-103.9986185,6.041589355,2.6,ml,36,40,0.0190027255,0.2,tx,tx2022wqhb,2022-11-22T19:59:07.644Z,"western Texas",earthquake,0.31485454730000006,0.3742234313,0.1,17,reviewed,tx,tx
2022-11-18T20:59:21.287Z,31.65396867,-104.5125867,8.008251953,2.7,ml,30,75,0.01778546264,0.5,tx,tx2022wqbz,2022-11-19T16:35:21.040Z,"59 km SSW of Whites City, New Mexico",earthquake,1.864913965,1.09797552,0.1,17,reviewed,tx,tx
2022-11-18T20:21:46.584Z,31.55345937,-104.0868348,6.568603515999999,2.5,ml,40,63,0.03291418644,0.2,tx,tx2022wqau,2022-11-19T16:10:47.040Z,"38 km NW of Toyah, Texas",earthquake,0.666250405,0.6955354633,0.1,24,reviewed,tx,tx
2022-11-18T19:23:22.139Z,31.62847084,-103.9992862,8.599536133,2.9,ml,21,52,0.01799232884,0.1,tx,tx2022wpyw,2022-11-18T20:14:33.040Z,"38 km WSW of Mentone, Texas",earthquake,1.289306476,0.702256671,0.2,10,reviewed,tx,tx
2022-11-18T18:58:39.370Z,31.63956788,-104.013195,6.041589355,2.7,ml,25,40,0.02018041508,0.1,tx,tx2022wpxz,2022-11-18T20:37:04.576Z,"western Texas",earthquake,0.3725744938,0.3810070417,0.2,18,reviewed,tx,tx
2022-11-18T09:04:56.057Z,31.63248808,-104.0005158,6.093005371,2.7,ml,36,50,0.01943858787,0.2,tx,tx2022wpem,2022-11-18T16:47:42.199Z,"38 km WSW of Mentone, Texas",earthquake,0.4287260139,0.3484176705,0.1,20,reviewed,tx,tx
2022-11-18T08:12:39.614Z,31.62771827,-103.9838138,7.661193848,2.5,ml,50,49,0.02130090788,0.2,tx,tx2022wpct,2022-11-27T14:15:48.040Z,"37 km WSW of Mentone, Texas",earthquake,0.4230850257,0.5464791676,0,7,reviewed,tx,tx
2022-11-18T05:34:56.995Z,31.66548399,-104.5398877,6.131567383,2.9,ml,38,79,0.0334955598,0.2,tx,tx2022woxo,2022-11-27T13:56:37.040Z,"58 km SSW of Whites City, New Mexico",earthquake,1.274915122,0.6586047403,0.1,23,reviewed,tx,tx
